Judul,ISBN,ISBN Dtl.,Genre
VOUCHER 100.000,VOUCHER100,VOUCHER100.1,
MENAPAKI HARI BERSAMA ALLAH,9795422162,9795422162.1,
MERUPA HIDUP DALAM RUPANYA,9795421921,9795421921.1,
SACRED INFLUENCE,9786029254266,9786029254266.1,
PASSION & PURITY,9789795423331,9789795423331.1,
NOT A FAN CU 1,9786021854723.1,9786021854723.1.1,
MENJADI GEREJA PEMBUAT MURID,9786029254587,9786029254587.1,
GEJOLAK KAWULA MUDA,9786020904016,9786020904016.1,
THE MINGLING OF SOUL,9786021302385,9786021302385.1,
THE GIFT OF BEING YOURSELF,9786021302378,9786021302378.1,
BUSYNESS,9786020904306,9786020904306.1,
JANGAN ADA ORANG YANG MEMEGAHKAN DIRI,9786020904344,9786020904344.1,
BERTEOLOGI ABAD XXI,9786020904146,9786020904146.1,
ANAKKU KARUNIA TUHAN,9786020904337,9786020904337.1,
WORLDHOLINES,9789795423485,9789795423485.1,
MERAWAT KEHIDUPAN,9786020904368,9786020904368.1,
FRUITFULNESS ON THE FRONTLINE (BERBUAH DI GARIS DEPAN),978-602-1302-40-8,978-602-1302-40-8.1,
UNCOVER YOHANES (MENEMUKAN),9786021302361,9786021302361.1,
KETIKA IMAN DIADILI,LIT000001234,LIT000001234.1,
IMAGINE CHURCH,9786021302408,9786021302408.1,
KARTU UCAPAN,LAINLAIN02,LAINLAIN02.1,
KHOTBAH DI BUKIT,9786028009737,9786028009737.1,
MISI UMAT ALLAH,9789791338592,9789791338592.1,
GO AND DO,9786020904276,9786020904276.1,
HIDUP BERSAMA,9786020904221,9786020904221.1,
GODS AT WAR (ENGLISH VERSION),9780310318842,9780310318842.1,
SACRED PATHWAY,9786029254227,9786029254227.1,
HARGAILAH WAKTU ANDA,9789791338387B,9789791338387B.1,
PEMIMPIN PUJIAN,LIT0012,LIT0012.1,
HEARING GOD,9786021302422,9786021302422.1,
BECOMING LIKE JESUS (MENJADI SERUPA YESUS),9786021302415,9786021302415.1,
SO YOU ARE GETTING MARRIED,9791734933,9791734933.1,
MANTAP BERPERAN SEBAGAI ORANG TUA,9786028139858,9786028139858.1,
KIDUNG CINTA DARI HEIDELBERG,9786020904245,9786020904245.2,
JESUS AMONG SECULAR GODS (YESUS DI ANTARA ALLAH-ALLAH SEKULAR),978-602-1302-44-6,978-602-1302-44-6.1,
MAKING SENSE OF GOD,9786021302439,9786021302439.1,
YOU AND ME FOREVER,6029254456,6029254456.1,
RADICAL TOGETHER,9786021302453,9786021302453.1,
CHERISH (MENYAYANGI),9786021302477,9786021302477.1,
COURAGE AND CALLING,9786021302460,9786021302460.1,
DEVOTION : SACRED MARRIAGE,9786029254197,9786029254197.1,
SACRED MARRIAGE,9786029254200,9786029254200.2,
MENGAJAR UNTUK MENGUBAH HIDUP,6028139319,6028139319.1,
SAME-SEX ATTRACTION AND THE CHURCH,9786021302262,9786020904221.1,
KEBENARAN-KEBENARAN DASAR IMAN KRISTEN,9789799532138,9789799532138 .1,
KETUHANAN KRISTUS,9789791338134A,9789791338134A.2,
PEMBINAAN WATAK,9789791338134,9789791338134.2,
PEMBINAAN DASAR BARU,9789791338127,9789791338127.2,
TINGGAL DALAM HADIRATMU,9789795423171,9789795423171.1,
KABAR BAIK UNTUK SISWA,9789791338912,9789791338912.2,
MEMULAI HIDUP BARU HARGA BARU,9789791338721.1,9789791338721.1.1,
TAKING YOUR SOUL TO WORK,9789791338844,9789791338844.2,
EVERY GOOD ENDEAVOR,9786021302057,9786021302057.2,
YAKOBUS PA,9789791338530,9789791338530.2,
YOSUA PA,9789791338363,9789791338363.2,
TOKOH PEREMPUAN DALAM PB,9789791338165,9789791338165.2,
POLA HIDUP ILAHI,9789791338615,9789791338615.2,
BUAH ROH,9786020904054,9786020904054.2,
GROWING TOGETHER,9789791338745,9789791338745.2,
GROWING TOGETHER 2,9786020904320,9786020904320.2,
MENELADAN TOKOH PL,9789791338196,9789791338196.2,
BIJAK MENJADI ORANG TUA,9786020904382,9786020904382.1,
REDISCOVERING DISCIPLESHIP,9786021302484,9786021302484.1,
MENGENAL ALLAH,9789791338905,9789791338905.2,
PA NEHEMIA,9786020904177,9786020904177.2,
PA: YEREMIA,9789791338363.1,9789791338363.1.2,
BAGAIMANA BERDIALOG DENGAN SAKSI-SAKSI YEHUWA,9786027788283,9786027788283.1,
BERDISKUSI DARI ALKITAB DENGAN SAKSI-SAKSI YEHUWA,9786027788305,9786027788305.1,
PROFESIONAL HUKUM,9786020904160,9786020904160.2,
YESUSISME,9789791338806,9789791338806.2,
PURPOSE DRIVEN LIFE,978-6028537599,978-6028537599.1,
KARAKTER HIDUP BARU,9789791338943,9789791338943.2,
KONKORDANSI ALKITAB,9789796872244,9789796872244.1,
PREACHING,9786021302507,9786021302507.1,
THE STORY OF REALITY,9786021302491,9786021302491.1,
WHY ARE THERE DIFFERENCES IN THE GOSPELS?,9780190264260,9780190264260.1,
A MEAL WITH JESUS,9786020904252,9786020904252.2,
